kind	name	origin	description
skill	recsys-pipeline-architect	community	Design composable recommendation, ranking, and feed pipelines using the six-stage Source→Hydrator→Filter→Scorer→Selector→SideEffect framework popularized by xAI
skill	recursive-decision-ledger	ECC	Use when the user asks for repeated rollouts, marked decision processes, high-dimensional search, stochastic optimization, local-optima exploration, ensemble co
skill	redis-patterns	ECC	Redis data structure patterns, caching strategies, distributed locks, rate limiting, pub/sub, and connection management for production applications.
skill	regex-vs-llm-structured-text	ECC	Decision framework for choosing between regex and LLM when parsing structured text — start with regex, add LLM only for low-confidence edge cases.
skill	remotion-video-creation	?	Best practices for Remotion - Video creation in React. 29 domain-specific rules covering 3D, animations, audio, captions, charts, transitions, and more.
skill	repo-scan	community	Cross-stack source code asset audit — classifies every file, detects embedded third-party libraries, and delivers actionable four-level verdicts per module with
skill	research-ops	ECC	Evidence-first current-state research workflow for ECC. Use when the user wants fresh facts, comparisons, enrichment, or a recommendation built from current pub
skill	returns-reverse-logistics	ECC	>
skill	rules-distill	ECC	Scan skills to extract cross-cutting principles and distill them into rules — append, revise, or create new rule files
skill	rust-patterns	ECC	Idiomatic Rust patterns, ownership, error handling, traits, concurrency, and best practices for building safe, performant applications.
skill	rust-testing	ECC	Rust testing patterns including unit tests, integration tests, async testing, property-based testing, mocking, and coverage. Follows TDD methodology.
skill	safety-guard	ECC	Use this skill to prevent destructive operations when working on production systems or running agents autonomously.
skill	santa-method	Ronald Skelton - Founder, RapportScore.ai	Multi-agent adversarial verification with convergence loop. Two independent review agents must both pass before output ships.
skill	pubmed-database	community	Direct PubMed and NCBI E-utilities search workflows for biomedical literature, MeSH queries, PMID lookup, citation retrieval, and API-backed literature monitori
skill	uspto-database	community	USPTO patent and trademark data workflow for official record lookup, PatentSearch queries, TSDR checks, assignment data, and reproducible IP research logs.
skill	gget	community	gget CLI and Python workflow for quick genomic database queries, sequence lookup, BLAST-style searches, enrichment checks, and reproducible bioinformatics evide
skill	literature-review	community	Systematic literature-review workflow for academic, biomedical, technical, and scientific topics, including search planning, source screening, synthesis, citati
skill	scholar-evaluation	community	Structured scholarly-work evaluation for papers, proposals, literature reviews, methods sections, evidence quality, citation support, and research-writing feedb
skill	search-first	ECC	Research-before-coding workflow. Search for existing tools, libraries, and patterns before writing custom code. Invokes the researcher agent.
skill	security-bounty-hunter	ECC direct-port adaptation	Hunt for exploitable, bounty-worthy security issues in repositories. Focuses on remotely reachable vulnerabilities that qualify for real reports instead of nois
skill	security-review	ECC	Use this skill when adding authentication, handling user input, working with secrets, creating API endpoints, or implementing payment/sensitive features. Provid
skill	security-scan	ECC	Scan your Claude Code configuration (.claude/ directory) for security vulnerabilities, misconfigurations, and injection risks using AgentShield. Checks CLAUDE.m
skill	seo	ECC	Audit, plan, and implement SEO improvements across technical SEO, on-page optimization, structured data, Core Web Vitals, and content strategy. Use when the use
skill	skill-comply	ECC	Visualize whether skills, rules, and agent definitions are actually followed — auto-generates scenarios at 3 prompt strictness levels, runs agents, classifies b
skill	skill-scout	community	Search existing local, marketplace, GitHub, and web skill sources before creating a new skill. Use when the user wants to create, build, fork, or find a skill f
skill	skill-stocktake	ECC	Use when auditing Claude skills and commands for quality. Supports Quick Scan (changed skills only) and Full Stocktake modes with sequential subagent batch eval
skill	social-graph-ranker	ECC	Weighted social-graph ranking for warm intro discovery, bridge scoring, and network gap analysis across X and LinkedIn. Use when the user wants the reusable gra
skill	social-publisher	community	Agent-driven scheduling and publishing of social media posts across 13 platforms via SocialClaw. Use when the user wants to publish to X, LinkedIn, Instagram, F
skill	springboot-patterns	ECC	Spring Boot architecture patterns, REST API design, layered services, data access, caching, async processing, and logging. Use for Java Spring Boot backend work
skill	springboot-security	ECC	Spring Security best practices for authn/authz, validation, CSRF, secrets, headers, rate limiting, and dependency security in Java Spring Boot services.
skill	springboot-tdd	ECC	Test-driven development for Spring Boot using JUnit 5, Mockito, MockMvc, Testcontainers, and JaCoCo. Use when adding features, fixing bugs, or refactoring.
skill	springboot-verification	ECC	Verification loop for Spring Boot projects: build, static analysis, tests with coverage, security scans, and diff review before release or PR.
skill	strategic-compact	ECC	Suggests manual context compaction at logical intervals to preserve context through task phases rather than arbitrary auto-compaction.
skill	swift-actor-persistence	ECC	Thread-safe data persistence in Swift using actors — in-memory cache with file-backed storage, eliminating data races by design.
skill	swift-concurrency-6-2	?	Swift 6.2 Approachable Concurrency — single-threaded by default, @concurrent for explicit background offloading, isolated conformances for main actor types.
skill	swift-protocol-di-testing	ECC	Protocol-based dependency injection for testable Swift code — mock file system, network, and external APIs using focused protocols and Swift Testing.
skill	swiftui-patterns	?	SwiftUI architecture patterns, state management with @Observable, view composition, navigation, performance optimization, and modern iOS/macOS UI best practices
skill	taste	ECC	A creative-direction (taste) layer for music videos and short-form edits in the angelcore / cloud-trance / hyperpop visual family. Distills a named-genre aesthe
skill	tdd-workflow	ECC	Use this skill when writing new features, fixing bugs, or refactoring code. Enforces test-driven development with 80%+ coverage including unit, integration, and
skill	team-agent-orchestration	ECC	Run team-based orchestration for agent squads using work items, ownership, agent Kanban, merge gates, and control pane handoffs.
skill	team-builder	community	Interactive agent picker for composing and dispatching parallel teams
skill	terminal-ops	ECC	Evidence-first repo execution workflow for ECC. Use when the user wants a command run, a repo checked, a CI failure debugged, or a narrow fix pushed with exact 
skill	tinystruct-patterns	ECC	Expert guidance for developing with the tinystruct Java framework. Use when working on the tinystruct codebase or any project built on tinystruct — including cr
skill	token-budget-advisor	community	>-
skill	ui-demo	ECC	Record polished UI demo videos using Playwright. Use when the user asks to create a demo, walkthrough, screen recording, or tutorial video of a web application.
skill	ui-to-vue	community	Use when the user has UI screenshots or design exports that need batch conversion into Vue 3 components, especially with Vant, Element Plus, or Ant Design Vue.
skill	uncloud	ECC	Use when managing an Uncloud cluster — deploying services, configuring Caddy ingress, adding static proxy routes for non-cluster devices, publishing ports, scal
skill	unified-notifications-ops	ECC	Operate notifications as one ECC-native workflow across GitHub, Linear, desktop alerts, hooks, and connected communication surfaces. Use when the real problem i
skill	verification-loop	ECC	A comprehensive verification system for Claude Code sessions.
skill	video-editing	ECC	AI-assisted video editing workflows for cutting, structuring, and augmenting real footage. Covers the full pipeline from raw capture through FFmpeg, Remotion, E
skill	videodb	ECC	See, Understand, Act on video and audio. See- ingest from local files, URLs, RTSP/live feeds, or live record desktop; return realtime context and playable strea
skill	visa-doc-translate	?	Translate visa application documents (images) to English and create a bilingual PDF with original and translation
skill	vite-patterns	ECC	Vite build tool patterns including config, plugins, HMR, env variables, proxy setup, SSR, library mode, dependency pre-bundling, and build optimization. Activat
skill	vue-patterns	ECC	Vue.js 3 Composition API patterns, component architecture, reactivity best practices, Pinia state management, Vue Router navigation, and Nuxt SSR patterns. Acti
skill	windows-desktop-e2e	ECC	E2E testing for Windows native desktop apps (WPF, WinForms, Win32/MFC, Qt) using pywinauto and Windows UI Automation.
skill	workspace-surface-audit	ECC	Audit the active repo, MCP servers, plugins, connectors, env surfaces, and harness setup, then recommend the highest-value ECC-native skills, hooks, agents, and
skill	x-api	ECC	X/Twitter API integration for posting tweets, threads, reading timelines, search, and analytics. Covers OAuth auth patterns, rate limits, and platform-native co
agent	a11y-architect	-	Accessibility Architect specializing in WCAG 2.2 compliance for Web and Native platforms. Use PROACTIVELY when designing UI components, establishing design syst
agent	agent-evaluator	-	Evaluates agent output against 5-axis quality rubric (accuracy, completeness, clarity, actionability, conciseness). Use after any non-trivial task when the user
agent	architect	-	Software architecture specialist for system design, scalability, and technical decision-making. Use PROACTIVELY when planning new features, refactoring large sy
agent	build-error-resolver	-	Build and TypeScript error resolution specialist. Use PROACTIVELY when build fails or type errors occur. Fixes build/type errors only with minimal diffs, no arc
agent	chief-of-staff	-	Personal communication chief of staff that triages email, Slack, LINE, and Messenger. Classifies messages into 4 tiers (skip/info_only/meeting_info/action_requi
agent	code-architect	-	Designs feature architectures by analyzing existing codebase patterns and conventions, then providing implementation blueprints with concrete files, interfaces,
agent	code-explorer	-	Deeply analyzes existing codebase features by tracing execution paths, mapping architecture layers, and documenting dependencies to inform new development.
agent	code-reviewer	-	Expert code review specialist. Proactively reviews code for quality, security, and maintainability. Use immediately after writing or modifying code. MUST BE USE
agent	code-simplifier	-	Simplifies and refines code for clarity, consistency, and maintainability while preserving behavior. Focus on recently modified code unless instructed otherwise
agent	comment-analyzer	-	Analyze code comments for accuracy, completeness, maintainability, and comment rot risk.
agent	conversation-analyzer	-	Use this agent when analyzing conversation transcripts to find behaviors worth preventing with hooks. Triggered by /hookify without arguments.
agent	cpp-build-resolver	-	C++ build, CMake, and compilation error resolution specialist. Fixes build errors, linker issues, and template errors with minimal changes. Use when C++ builds 
agent	cpp-reviewer	-	Expert C++ code reviewer specializing in memory safety, modern C++ idioms, concurrency, and performance. Use for all C++ code changes. MUST BE USED for C++ proj
agent	csharp-reviewer	-	Expert C# code reviewer specializing in .NET conventions, async patterns, security, nullable reference types, and performance. Use for all C# code changes. MUST
agent	dart-build-resolver	-	Dart/Flutter build, analysis, and dependency error resolution specialist. Fixes `dart analyze` errors, Flutter compilation failures, pub dependency conflicts, a
agent	database-reviewer	-	PostgreSQL database specialist for query optimization, schema design, security, and performance. Use PROACTIVELY when writing SQL, creating migrations, designin
agent	django-build-resolver	-	Django/Python build, migration, and dependency error resolution specialist. Fixes pip/Poetry errors, migration conflicts, import errors, Django configuration is
agent	django-reviewer	-	Expert Django code reviewer specializing in ORM correctness, DRF patterns, migration safety, security misconfigurations, and production-grade Django practices. 
agent	doc-updater	-	Documentation and codemap specialist. Use PROACTIVELY for updating codemaps and documentation. Runs /update-codemaps and /update-docs, generates docs/CODEMAPS/*
agent	docs-lookup	-	When the user asks how to use a library, framework, or API or needs up-to-date code examples, use Context7 MCP to fetch current documentation and return answers
agent	e2e-runner	-	End-to-end testing specialist using Vercel Agent Browser (preferred) with Playwright fallback. Use PROACTIVELY for generating, maintaining, and running E2E test
agent	fastapi-reviewer	-	Reviews FastAPI applications for async correctness, dependency injection, Pydantic schemas, security, OpenAPI quality, testing, and production readiness.
agent	flutter-reviewer	-	Flutter and Dart code reviewer. Reviews Flutter code for widget best practices, state management patterns, Dart idioms, performance pitfalls, accessibility, and
agent	fsharp-reviewer	-	Expert F# code reviewer specializing in functional idioms, type safety, pattern matching, computation expressions, and performance. Use for all F# code changes.
agent	gan-evaluator	-	GAN Harness — Evaluator agent. Tests the live running application via Playwright, scores against rubric, and provides actionable feedback to the Generator.
agent	gan-generator	-	GAN Harness — Generator agent. Implements features according to the spec, reads evaluator feedback, and iterates until quality threshold is met.
agent	gan-planner	-	GAN Harness — Planner agent. Expands a one-line prompt into a full product specification with features, sprints, evaluation criteria, and design direction.
agent	go-build-resolver	-	Go build, vet, and compilation error resolution specialist. Fixes build errors, go vet issues, and linter warnings with minimal changes. Use when Go builds fail
agent	go-reviewer	-	Expert Go code reviewer specializing in idiomatic Go, concurrency patterns, error handling, and performance. Use for all Go code changes. MUST BE USED for Go pr
agent	harmonyos-app-resolver	-	HarmonyOS application development expert specializing in ArkTS and ArkUI. Reviews code for V2 state management compliance, Navigation routing patterns, API usag
agent	harness-optimizer	-	Analyze and improve the local agent harness configuration for reliability, cost, and throughput.
agent	healthcare-reviewer	-	Reviews healthcare application code for clinical safety, CDSS accuracy, PHI compliance, and medical data integrity. Specialized for EMR/EHR, clinical decision s
agent	homelab-architect	-	Designs home and small-lab network plans from hardware inventory, goals, and operator experience level, with safe staged changes and rollback guidance.
agent	java-build-resolver	-	Java/Maven/Gradle build, compilation, and dependency error resolution specialist. Automatically detects Spring Boot or Quarkus and applies framework-specific fi
agent	java-reviewer	-	Expert Java code reviewer for Spring Boot and Quarkus projects. Automatically detects the framework and applies the appropriate review rules. Covers layered arc
agent	kotlin-build-resolver	-	Kotlin/Gradle build, compilation, and dependency error resolution specialist. Fixes build errors, Kotlin compiler errors, and Gradle issues with minimal changes
agent	kotlin-reviewer	-	Kotlin and Android/KMP code reviewer. Reviews Kotlin code for idiomatic patterns, coroutine safety, Compose best practices, clean architecture violations, and c
agent	loop-operator	-	Operate autonomous agent loops, monitor progress, and intervene safely when loops stall.
agent	marketing-agent	-	Marketing strategist and copywriter for campaign planning, audience research, positioning, copy creation, and content review. Covers landing pages, email sequen
agent	mle-reviewer	-	Production machine-learning engineering reviewer for data contracts, feature pipelines, training reproducibility, offline/online evaluation, model serving, moni
agent	network-architect	-	Designs enterprise or multi-site network architecture from requirements, using existing network skills for focused routing, validation, automation, and troubles
agent	network-config-reviewer	-	Reviews router and switch configurations for security, correctness, stale references, risky change-window commands, and missing operational guardrails.
agent	network-troubleshooter	-	Diagnoses network connectivity, routing, DNS, interface, and policy symptoms with a read-only OSI-layer workflow and evidence-backed root cause summary.
agent	opensource-forker	-	Fork any project for open-sourcing. Copies files, strips secrets and credentials (20+ patterns), replaces internal references with placeholders, generates .env.
agent	opensource-packager	-	Generate complete open-source packaging for a sanitized project. Produces CLAUDE.md, setup.sh, README.md, LICENSE, CONTRIBUTING.md, and GitHub issue templates. 
agent	opensource-sanitizer	-	Verify an open-source fork is fully sanitized before release. Scans for leaked secrets, PII, internal references, and dangerous files using 20+ regex patterns. 
agent	performance-optimizer	-	Performance analysis and optimization specialist. Use PROACTIVELY for identifying bottlenecks, optimizing slow code, reducing bundle sizes, and improving runtim
agent	php-reviewer	-	Expert PHP code reviewer specializing in PSR-12 compliance, PHP type system, Eloquent ORM patterns, security, and performance. Use for all PHP code changes. MUS
agent	planner	-	Expert planning specialist for complex features and refactoring. Use PROACTIVELY when users request feature implementation, architectural changes, or complex re
agent	pr-test-analyzer	-	Review pull request test coverage quality and completeness, with emphasis on behavioral coverage and real bug prevention.
agent	python-reviewer	-	Expert Python code reviewer specializing in PEP 8 compliance, Pythonic idioms, type hints, security, and performance. Use for all Python code changes. MUST BE U
agent	pytorch-build-resolver	-	PyTorch runtime, CUDA, and training error resolution specialist. Fixes tensor shape mismatches, device errors, gradient issues, DataLoader problems, and mixed p
agent	react-build-resolver	-	Diagnose and fix React build failures across Vite, webpack, Next.js, CRA, Parcel, esbuild, and Bun. Handles JSX/TSX compile errors, hydration mismatches, server
agent	react-reviewer	-	Expert React/JSX code reviewer specializing in hook correctness, render performance, server/client component boundaries, accessibility, and React-specific secur
agent	refactor-cleaner	-	Dead code cleanup and consolidation specialist. Use PROACTIVELY for removing unused code, duplicates, and refactoring. Runs analysis tools (knip, depcheck, ts-p
agent	rust-build-resolver	-	Rust build, compilation, and dependency error resolution specialist. Fixes cargo build errors, borrow checker issues, and Cargo.toml problems with minimal chang
agent	rust-reviewer	-	Expert Rust code reviewer specializing in ownership, lifetimes, error handling, unsafe usage, and idiomatic patterns. Use for all Rust code changes. MUST BE USE
agent	security-reviewer	-	Security vulnerability detection and remediation specialist. Use PROACTIVELY after writing code that handles user input, authentication, API endpoints, or sensi
agent	seo-specialist	-	SEO specialist for technical SEO audits, on-page optimization, structured data, Core Web Vitals, and content/keyword mapping. Use for site audits, meta tag revi
agent	silent-failure-hunter	-	Review code for silent failures, swallowed errors, bad fallbacks, and missing error propagation.
agent	spec-miner	-	Extracts behavioral specs from existing codebases for OpenSpec. Produces flat Requirement and Invariant blocks with structured metadata (entities, enforced, id,
agent	swift-build-resolver	-	Swift/Xcode build, compilation, and dependency error resolution specialist. Fixes swift build errors, Xcode build failures, SPM dependency issues, and code sign
agent	swift-reviewer	-	Expert Swift code reviewer specializing in protocol-oriented design, value semantics, ARC memory management, Swift Concurrency, and idiomatic patterns. Use for 
agent	tdd-guide	-	Test-Driven Development specialist enforcing write-tests-first methodology. Use PROACTIVELY when writing new features, fixing bugs, or refactoring code. Ensures
agent	type-design-analyzer	-	Analyze type design for encapsulation, invariant expression, usefulness, and enforcement.
agent	typescript-reviewer	-	Expert TypeScript/JavaScript code reviewer specializing in type safety, async correctness, Node/web security, and idiomatic patterns. Use for all TypeScript and
agent	vue-reviewer	-	Expert Vue.js code reviewer specializing in Composition API correctness, reactivity pitfalls, component architecture, template security, and Vue-specific perfor
